# [No.1] construct_wrapper.112
# In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(62)/
funcgraph fg_112(
        %para1 : Tensor(F64)[4, 128]    # q
        , %para2 : Tensor(F64)[4, 17625]    # a
        , %para3 : Tensor(F64)[4, 3, 224, 224]    # img
        , %para4 : Ref[Tensor(F32)][64, 3, 3, 3]    # net.image_channel.simple_cnn.0.weight
        , %para5 : Ref[Tensor(F32)][64]    # net.image_channel.simple_cnn.1.gamma
        , %para6 : Ref[Tensor(F32)][64]    # net.image_channel.simple_cnn.1.beta
        , %para7 : Ref[Tensor(F32)][128, 64, 3, 3]    # net.image_channel.simple_cnn.4.weight
        , %para8 : Ref[Tensor(F32)][128]    # net.image_channel.simple_cnn.5.gamma
        , %para9 : Ref[Tensor(F32)][128]    # net.image_channel.simple_cnn.5.beta
        , %para10 : Ref[Tensor(F32)][256, 128, 3, 3]    # net.image_channel.simple_cnn.8.weight
        , %para11 : Ref[Tensor(F32)][256]    # net.image_channel.simple_cnn.9.gamma
        , %para12 : Ref[Tensor(F32)][256]    # net.image_channel.simple_cnn.9.beta
        , %para13 : Ref[Tensor(F32)][768, 256, 3, 3]    # net.image_channel.simple_cnn.12.weight
        , %para14 : Ref[Tensor(F32)][30522, 768]    # net.ques_channel.embeddings.word_embeddings.embedding_table
        , %para15 : Ref[Tensor(F32)][512, 768]    # net.ques_channel.embeddings.position_embeddings.embedding_table
        , %para16 : Ref[Tensor(F32)][2, 768]    # net.ques_channel.embeddings.token_type_embeddings.embedding_table
        , %para17 : Ref[Tensor(F32)][768]    # net.ques_channel.embeddings.layer_norm.gamma
        , %para18 : Ref[Tensor(F32)][768]    # net.ques_channel.embeddings.layer_norm.beta
        , %para19 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.0.attention.self_attn.query.weight
        , %para20 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.0.attention.self_attn.query.bias
        , %para21 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.0.attention.self_attn.key.weight
        , %para22 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.0.attention.self_attn.key.bias
        , %para23 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.0.attention.self_attn.value.weight
        , %para24 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.0.attention.self_attn.value.bias
        , %para25 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.0.attention.output.dense.weight
        , %para26 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.0.attention.output.dense.bias
        , %para27 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.0.attention.output.layer_norm.gamma
        , %para28 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.0.attention.output.layer_norm.beta
        , %para29 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.0.intermediate.dense.weight
        , %para30 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.0.intermediate.dense.bias
        , %para31 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.0.output.dense.weight
        , %para32 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.0.output.dense.bias
        , %para33 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.0.output.layer_norm.gamma
        , %para34 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.0.output.layer_norm.beta
        , %para35 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.1.attention.self_attn.query.weight
        , %para36 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.1.attention.self_attn.query.bias
        , %para37 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.1.attention.self_attn.key.weight
        , %para38 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.1.attention.self_attn.key.bias
        , %para39 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.1.attention.self_attn.value.weight
        , %para40 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.1.attention.self_attn.value.bias
        , %para41 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.1.attention.output.dense.weight
        , %para42 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.1.attention.output.dense.bias
        , %para43 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.1.attention.output.layer_norm.gamma
        , %para44 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.1.attention.output.layer_norm.beta
        , %para45 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.1.intermediate.dense.weight
        , %para46 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.1.intermediate.dense.bias
        , %para47 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.1.output.dense.weight
        , %para48 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.1.output.dense.bias
        , %para49 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.1.output.layer_norm.gamma
        , %para50 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.1.output.layer_norm.beta
        , %para51 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.2.attention.self_attn.query.weight
        , %para52 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.2.attention.self_attn.query.bias
        , %para53 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.2.attention.self_attn.key.weight
        , %para54 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.2.attention.self_attn.key.bias
        , %para55 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.2.attention.self_attn.value.weight
        , %para56 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.2.attention.self_attn.value.bias
        , %para57 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.2.attention.output.dense.weight
        , %para58 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.2.attention.output.dense.bias
        , %para59 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.2.attention.output.layer_norm.gamma
        , %para60 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.2.attention.output.layer_norm.beta
        , %para61 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.2.intermediate.dense.weight
        , %para62 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.2.intermediate.dense.bias
        , %para63 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.2.output.dense.weight
        , %para64 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.2.output.dense.bias
        , %para65 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.2.output.layer_norm.gamma
        , %para66 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.2.output.layer_norm.beta
        , %para67 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.3.attention.self_attn.query.weight
        , %para68 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.3.attention.self_attn.query.bias
        , %para69 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.3.attention.self_attn.key.weight
        , %para70 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.3.attention.self_attn.key.bias
        , %para71 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.3.attention.self_attn.value.weight
        , %para72 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.3.attention.self_attn.value.bias
        , %para73 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.3.attention.output.dense.weight
        , %para74 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.3.attention.output.dense.bias
        , %para75 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.3.attention.output.layer_norm.gamma
        , %para76 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.3.attention.output.layer_norm.beta
        , %para77 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.3.intermediate.dense.weight
        , %para78 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.3.intermediate.dense.bias
        , %para79 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.3.output.dense.weight
        , %para80 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.3.output.dense.bias
        , %para81 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.3.output.layer_norm.gamma
        , %para82 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.3.output.layer_norm.beta
        , %para83 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.4.attention.self_attn.query.weight
        , %para84 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.4.attention.self_attn.query.bias
        , %para85 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.4.attention.self_attn.key.weight
